time,gyroX,gyroY,gyroZ,accX,accY,accZ
2022-12-05 12:48:42,-15.08,15.99,-8.18,0.17,0.42,1.04
2022-12-05 12:48:43,-18.68,6.47,-15.01,0.11,0.50,1.03
2022-12-05 12:48:44,-16.91,31.43,-5.37,0.05,0.54,0.97
2022-12-05 12:48:44,-14.53,13.43,-11.66,-0.04,0.57,0.95
2022-12-05 12:48:45,-14.28,6.65,-6.41,-0.04,0.53,0.95
2022-12-05 12:48:45,-15.56,5.92,-6.71,-0.03,0.55,0.90
2022-12-05 12:48:46,-14.53,6.41,-5.00,-0.02,0.54,0.93
2022-12-05 12:48:46,-13.55,8.91,-6.41,-0.03,0.55,0.94
2022-12-05 12:48:47,-17.21,5.49,-5.80,-0.02,0.54,0.91
2022-12-05 12:48:47,-16.72,7.51,-7.20,-0.03,0.54,0.95
2022-12-05 12:48:48,-15.99,8.06,-6.35,-0.03,0.53,0.93
2022-12-05 12:48:48,-15.99,8.85,-7.26,-0.04,0.54,0.92
2022-12-05 12:48:49,-16.48,6.96,-6.16,-0.02,0.55,0.92
2022-12-05 12:48:49,-15.75,6.16,-5.86,-0.03,0.54,0.93
2022-12-05 12:48:50,-16.30,7.20,-5.55,-0.03,0.55,0.92
2022-12-05 12:48:50,-16.66,7.14,-5.07,-0.03,0.55,0.91
2022-12-05 12:48:51,-17.76,8.79,-4.94,-0.03,0.54,0.94
2022-12-05 12:48:51,-16.85,5.37,-6.29,-0.01,0.53,0.91
2022-12-05 12:48:52,-15.99,7.69,-6.41,-0.02,0.54,0.93
2022-12-05 12:48:52,-16.54,6.29,-5.68,-0.02,0.54,0.93
2022-12-05 12:48:53,-15.44,6.16,-5.43,-0.02,0.54,0.93
2022-12-05 12:48:53,-15.69,7.08,-6.23,-0.02,0.55,0.93
2022-12-05 12:48:54,-14.83,8.36,-6.53,-0.02,0.53,0.92
2022-12-05 12:48:54,-16.66,6.47,-6.41,-0.03,0.55,0.93
2022-12-05 12:48:55,-17.09,7.39,-6.65,-0.03,0.54,0.93
2022-12-05 12:48:55,-17.27,6.10,-7.69,-0.03,0.54,0.94
2022-12-05 12:48:56,-16.17,6.90,-6.23,-0.03,0.54,0.93
2022-12-05 12:48:56,-15.56,6.65,-5.49,-0.02,0.53,0.93
2022-12-05 12:48:57,-16.05,6.10,-6.29,-0.03,0.56,0.93
2022-12-05 12:48:57,-15.44,5.49,-5.49,-0.03,0.54,0.92
